company_name,location,location_type,sales,url,phone_number
"Power Construction Corporation Of China,Ltd",Beijing(China),Headquarters,70229499465,www.powerchina.cn,1058381999.0
China Poly Group Corporation Limited,Beijing(China),Headquarters,69625229608,www.poly.com.cn,
"Greenland Holding Group Co., Ltd.",Shanghai(China),Headquarters,69289954810,www.ldjt.com.cn,2153188666.0
Jiangxi Copper Company Limited,Jiangxi(China),Headquarters,69257718941,www.jxcc.com,79182710117.0
"Foxconn Industrial Internet Co.,Ltd.",Guangdong(China),Headquarters,68755536442,www.fii-foxconn.com,75533855777.0
"China Railway 24Th Bureau Group Co.,Ltd",Shanghai(China),Headquarters,68554295476,www.cr20g.com,2123041771.0
China Telecom Corporation Limited,Beijing(China),Headquarters,67911138736,www.chinatelecom-h.com,
"Evergrande Real Estate Group Co., Ltd.",Guangdong(China),Headquarters,67738905057,www.evergrande.com,
"Hbis Group Co.,Ltd.",Hebei(China),Headquarters,66742390864,www.hbisco.com,31166778662.0
"Wuhan Xinyatai Paper Products Co.,Ltd.",Hubei(China),Headquarters,64619549464,xytkj.en.alibaba.com,2784453069.0
Picc Property And Casualty Company Limited,Beijing(China),Headquarters,63841943428,www.picc.com,
"Sinochem Energy Co., Ltd.",Beijing(China),Headquarters,63807281717,www.sinochemenergy.com,1059569575.0
"Shanxi Coal And Chemical Industry Group Co.,Ltd.",Shaanxi(China),Headquarters,61848240252,www.shccig.com,2981772509.0
"Pingan Life Insurance Co., Ltd.",Guangdong(China),Headquarters,60899332000,,
"China Huaneng Group Co., Ltd.",Beijing(China),Headquarters,60304978321,www.chng.com.cn,
Ansteel Group Co Ltd.,Liaoning(China),Headquarters,59980335493,www.ansteel.cn,4126723090.0
"Ping An Insurance (Group) Company Of China, Ltd.",Guangdong(China),Headquarters,58800345700,www.pingan.com,4008866338.0
China National Machinery Industry Corporation,Beijing(China),Headquarters,57960693636,www.sinomach.com.cn,1082688888.0
"Baoshan Iron & Steel Co., Ltd.",Shanghai(China),Headquarters,57146829583,www.baosteel.com,2126647000.0
"Zhejiang Geely Holding Group Co., Ltd.",Zhejiang(China),Headquarters,56360608229,www.geely.com,
"Yaojie Coal And Electricity Group Co.,Ltd.",Gansu(China),Headquarters,56257443000,www.gsyjmd.com,9316911416.0
"Shaanxi Yanchang Petroleum (Group) Co., Ltd",Shaanxi(China),Headquarters,55184712276,www.sxycpc.com,2968592664.0
"China Construction Eighth Engineering Division Corp., Ltd.",Shanghai(China),Headquarters,54550637214,8bur.cscec.com,2161691998.0
"Midea Group Co.,Ltd.",Guangdong(China),Headquarters,53708500247,www.midea.com,75726338888.0
Sinopec Chemical Commercial Holding Company Limited,Beijing(China),Headquarters,53032866037,chemicals.sinopec.com,
"Sichuandevelopmentholdingco.,Ltd",Sichuan(China),Headquarters,52917113278,www.sdholding.com,2880587192.0
China Minmetals Corporation Limited,Beijing(China),Headquarters,52494988725,www.minmentals.com,1060169676.0
China Shenhua Energy Company Limited,Beijing(China),Headquarters,52434486720,www.csec.com,1058131088.0
"Shandong Heavy Industry Group Co.,Ltd",Shandong(China),Headquarters,52337328940,www.shig.com.cn,53182623902.0
"Cosco Shipping Holdings Co.,Ltd.",Shanghai(China),Headquarters,52196354633,www.coscoshipping.com,1066493388.0
State Power Investment Corporation Limited,Beijing(China),Headquarters,51979774406,www.spic.com.cn,1066298000.0
China United Network Communications Limited,Beijing(China),Headquarters,51282999951,www.chinaunicom-a.com,1066259179.0
"China Pacific Insurance (Group) Co., Ltd.",Shanghai(China),Headquarters,51045990150,www.cpic.com.cn,2158767282.0
China United Network Communications Corporation Limited,Beijing(China),Headquarters,50689135623,chinaunicom-a.a.com,1066258693.0
China Energy Engineering Corporation Limited,Beijing(China),Headquarters,50417069937,www.ceec.net.cn,1059099999.0
"China M & E Group Co., Ltd.",Beijing(China),Headquarters,47759390000,,1067082637.0
Gansu Province State-Owned Asset Investment Group Co.Ltd.,Gansu(China),Headquarters,47295807382,www.gansugt.com,9318735658.0
China National Coal Group Corp,Beijing(China),Headquarters,47082966375,www.chinacoal.com,1082256141.0
"Zhejiang Communications Investment Group Co.,Ltd",Zhejiang(China),Headquarters,46797239749,www.cncico.com,57185391980.0
China National Pharmacertical Group Corporation,Beijing(China),Headquarters,46090233681,www.sinopharm.com,1082287754.0
Jixi Mining Administrative Bureau,Heilongjiang(China),Headquarters,45936980000,www.jxkyja.com,
"Xiaomi Communications Co., Ltd.",Beijing(China),Headquarters,45640017215,www.mi.com,
"Beijing Automotive Group Co.,Ltd",Beijing(China),Headquarters,45369235425,www.baicgroup.com.cn,1056636989.0
Baihe County Lengshui Cements Factory,Shaanxi(China),Headquarters,44919738206,,
Yto Express Co. Ltd,Shanghai(China),Headquarters,44851500000,www.yto.net.cn,2169777777.0
"China South Industries Group Co.,Ltd.",Beijing(China),Headquarters,44772025429,www.csgc.com.cn,1068962998.0
"Poly Developments And Holdings Group Co.,Ltd.",Guangdong(China),Headquarters,44583470348,www.polycn.com,2089898833.0
"Shanghai Construction Group Co.,Ltd.",Shanghai(China),Headquarters,43962696305,www.scg.com.cn,2155885959.0
"China National Building Material Co.,Ltd.",Beijing(China),Headquarters,43582883205,www.cnbmltd.com,1068138300.0
China Huadian Corporation Ltd.,Beijing(China),Headquarters,43239336707,www.chd.com.cn,1083566666.0
"China Pacific Life Insurance Co.,Ltd.",Shanghai(China),Headquarters,43148623236,www.cpic.com.cn,2133965127.0
"Shougang Group Co., Ltd.",Beijing(China),Headquarters,42467489725,www.shougang.com.cn,1088291114.0
"China Construction Third Engineering Bureau Group Co., Ltd.",Hubei(China),Headquarters,42285348959,www.cscec3b.com.cn,2787132920.0
Aluminum Corporation Of China Limited,Beijing(China),Headquarters,42194018449,www.chinalco.com.cn,1082298322.0
"Shandong Iron & Steel Group Co.,Ltd.",Shandong(China),Headquarters,41688919030,www.sdsteel.cc,53167606259.0
"Ping An Property & Casualty Insurance Company Of China,Ltd.",Guangdong(China),Headquarters,41455688009,www.pingan.com,75588674037.0
"Hangzh0U Finance And Investment Group Co.,Ltd",Zhejiang(China),Headquarters,41375905716,www.hzsteel.com,57185034957.0
"Jinchuan Group Co.,Ltd.",Gansu(China),Headquarters,41324841312,www.jnmc.com,9358812230.0
"Faw-Volkswagen Automobile Co., Ltd.",Jilin(China),Headquarters,40930864496,www.faw-vw.com,
Anhui Conch Group Co.Ltd,Anhui(China),Headquarters,40055203010,www.chinaconch.com,5533118188.0
"Hua Wei Pharmaceutical & Chemical Co., Ltd",Shanghai(China),Headquarters,39564422161,,2161919313.0
Citic Corporation Limited,Beijing(China),Headquarters,39170021029,www.cncbinternational.com,1059668789.0
China Everbright Group Ltd.,Beijing(China),Headquarters,38016478682,www.ccic-net.com.cn,1063636363.0
"Shenzhen Investment Holdings Co.,Ltd.",Guangdong(China),Headquarters,37936210520,www.sihc.com.cn,75582909009.0
"Beijing Electronics Holding Co., Ltd.",Beijing(China),Headquarters,37702236233,www.behc.com.cn,1084545438.0
China Shipbuilding Industry Corporation,Beijing(China),Headquarters,37541990982,www.csic.com.cn,1088010567.0
"Bank Of Communications Co., Ltd.",Shanghai(China),Headquarters,37405412200,www.bankcomm.com,
"Taikang Life Insurance Co.,Ltd.",Beijing(China),Headquarters,37189974042,www.taikang.com,1066429988.0
"Poly Southern Group Co,.Ltd",Guangdong(China),Headquarters,36957753890,www.polysouthern.com,2038911822.0
China Construction Third Engineering Bureau Company Limited,Hubei(China),Headquarters,36954442001,www.cscec3b.com.cn,
China North Industries Corporation,Beijing(China),Headquarters,36699920649,www.norinco.com,1083918200.0
"Weichai Holding Group Co., Ltd.",Shandong(China),Headquarters,36212494499,cn.weichaigbaxis.com,5368197777.0
China Coal Energy Company Limited,Beijing(China),Headquarters,36152932579,www.chinacoalenergy.com,1082236028.0
Cefc Shanghai International Group Limited,Shanghai(China),Headquarters,35879860833,www.cefc.co,2180128888.0
"Tongling Nonferrous Metals Groupholdings Co.,Ltd",Anhui(China),Headquarters,35829350592,www.tnmg.com.cn,5625861919.0
"Haier Smart Home Co.,Ltd.",Shandong(China),Headquarters,35594332044,www.haier.com,53288931670.0
"Yihai Kerry Arawana Holdings Co.,Ltd",Shanghai(China),Headquarters,35386139840,www.yihaikerry.net.cn,2131823188.0
Crrc Corporation Limited,Beijing(China),Headquarters,35308961117,www.crrcgc.cc,1051862188.0
"Minxixinghang State-Owned Investment&Operation Co.,Ltd",Fujian(China),Headquarters,35240095804,www.mxxhgt.com,5973846982.0
"Zijin Mining Group Co., Ltd.",Fujian(China),Headquarters,35210531329,www.zjky.cn,
China Datang Corporation Ltd.,Beijing(China),Headquarters,35010674590,www.china-cdt.com,1066586031.0
"Shudao Investment Group Co., Ltd.",Sichuan(China),Headquarters,34859019769,www.sdholding.com,2885260475.0
Jinneng Hold Coal Industry Group Company Limited,Shanxi(China),Headquarters,34846230401,www.dtcoalmine.com,3527022687.0
Jinneng Holding Equipment Manufacturing Group,Shanxi(China),Headquarters,34543412387,www.jkzbzz.com,3563664156.0
"Hunan Valin Iron And Steel Group Co.,Ltd",Hunan(China),Headquarters,34366420497,www.chinavalin.com,73189952900.0
"Lu'An Chemical Group Co., Ltd.",Shanxi(China),Headquarters,34348303777,www.sscio.net,3555922346.0
"Boe Technology Group Co., Ltd.",Beijing(China),Headquarters,34304438916,www.boe.com.cn,1064318888.0
"Sunac Real Estate Group Co., Ltd.",Beijing(China),Headquarters,34262848910,www.sunac.com.cn,2223937799.0
"Siic Shanghai (Holdings) Co.,Ltd.",Shanghai(China),Headquarters,33959113298,www.siic.com,2153828866.0
Byd Company Limited,Guangdong(China),Headquarters,33808993426,en.byd.com,75589888888.0
"Shanghai Pharmaceuticals Holding Co.,Ltd",Shanghai(China),Headquarters,33759230593,www.sphchina.com,2163730908.0
"Shanxi Coking Coal Group Co.,Ltd",Shanxi(China),Headquarters,33679110392,www.sxcc.com.cn,3518305000.0
"Chongqing Longhu Development Co., Ltd.",Beijing(China),Headquarters,33638918898,www.longfor.com,1086499182.0
"Sinopec Marketing Co., Ltd.",Beijing(China),Headquarters,33446702350,www.sinopec.com,1059969019.0
"Xinjiang Zhongtai (Group) Co.,Ltd",Xinjiang(China),Headquarters,33184917982,www.zthx.com,9913928817.0
China Forestry Group Corporation,Beijing(China),Headquarters,33134334257,www.cfgc.cn,1085135809.0
"Lu'Anminingindustrygroupco.,Ltd",Shanxi(China),Headquarters,32998270130,www.chinaluan.com,3555922042.0
"China Energy Development Group Co.,Ltd.",Beijing(China),Headquarters,32564924845,www.ceec.net.cn,1059099999.0
"Shenzhen Mingde Holding Development Co., Ltd.",Guangdong(China),Headquarters,32514723666,,75581397955.0
"Shenzhen S.F.Taisen Holding (Group) Co.,Ltd",Guangdong(China),Headquarters,32409316608,www.sf-international.com,75536393662.0
"S.F. Holding Co.,Ltd.",Guangdong(China),Headquarters,32408135324,www.sf-international.com,75536395338.0
"Guangxi Investment Group Co., Ltd",Guangxi(China),Headquarters,32248524199,www.gig.cn,13978190725.0
"Yunnan Provincial Investment Holdings Group Co., Ltd.",Yunnan(China),Headquarters,32169359099,www.cnyig.com,87163171366.0
"Huaneng Power International,Inc.",Beijing(China),Headquarters,32004327083,www.hpi.com.cn,1063226999.0
"Hengli Group Co., Ltd.",Jiangsu(China),Headquarters,31877538193,www.hengli.com,51263838299.0
"Weichai Power Co., Ltd.",Shandong(China),Headquarters,31838931703,www.weichaipower.com,
Xinjiang Guanghui Industry Investment (Group) Corporation Limited,Xinjiang(China),Headquarters,31788184206,www.guanghui.com,9912365093.0
"Shandong Hi-Speed Group Co.,Ltd",Shandong(China),Headquarters,31414773846,www.sdhsg.com,53189250209.0
"China Co-Op Group Co.,Ltd",Beijing(China),Headquarters,31405594964,www.ccoopg.com,1059338888.0
"Hailiang Group Co., Ltd",Zhejiang(China),Headquarters,31326846254,www.hailiang.com,57587063555.0
"Cedar Industrial Group Co., Ltd.",Guangdong(China),Headquarters,31308849160,www.cedarhd.com,2038911113.0
"Hengli Petrochemical Co., Ltd.",Liaoning(China),Headquarters,30970620195,www.henglipc.com,
"Jiangsu Hengli Chemical Fibre Co., Ltd.",Jiangsu(China),Headquarters,30970620195,www.hengli.com,51263838299.0
China Resources Pharmaceutical Holdings Company Limited,Beijing(China),Headquarters,30868937966,www.crpharm.com,1057985000.0
"Chengdu Xingcheng Investment Group Co.,Ltd.",Sichuan(China),Headquarters,30826350275,www.cdxctz.com,2885359727.0
"Anbang Life Insurance Co.,Ltd.",Beijing(China),Headquarters,30466775169,life.djbx.com,4008895569.0
"State Development & Investment Corp., Ltd.",Beijing(China),Headquarters,30416475910,www.sdic.com.cn,1088006417.0
Shanghai Construction ( Group ) General Corporation,Shanghai(China),Headquarters,29810085391,www.scg.com.cn,2155885959.0
"Gree Electric Appliances,Inc.Of Zhuhai",Guangdong(China),Headquarters,29665683998,www.gree.com.cn,7568669232.0
China Construction Second Engineering Bureau Co. Ltd,Beijing(China),Headquarters,29591912729,www.cscec2b.com.cn,1051816833.0
"Jiangsu Shagang Group Co.,Ltd",Jiangsu(China),Headquarters,29430951387,www.sha-steel.com,
Huayang New Materials Group,Shanxi(China),Headquarters,29223474335,www.ymjt.com.cn,3537073835.0
China National Agrochemical Corporation,Beijing(China),Headquarters,28929879313,agr.chemchina.com,1082677203.0
Beijing Capital Agribusiness&Foods Group,Beijing(China),Headquarters,28639318996,www.bjcag.com,1062003680.0
"Zhejiang Rongsheng Holding Group Co.,Ltd.",Zhejiang(China),Headquarters,28549147245,www.rong-sheng.com,57182598860.0
Avic International Holding Corporation,Beijing(China),Headquarters,28536382278,www.avic-intl.cn,1084808439.0
"Hangzhou Industrial Investment Group Co., Ltd.",Zhejiang(China),Headquarters,28320655792,www.hziam.com,57185211062.0
"Guangzhou Municipal Construction Group Co.,Ltd",Guangdong(China),Headquarters,28190668269,www.gzmcg.com,2083331899.0
